Area_name,Inner_Outer_London,GLA_Population_Estimate,GLA_Household_Estimate_2017,Population_density_(per_hectare)_2017,"Average_Age,_2017",Aged-0-15 ,Working-age,Aged-65-and-over,Proportion_of_resident_population_born_abroad,Largest_migrant_population_by_country_of_birth,Proportion_of_largest_migrant_population,Second_largest_migrant_population_by_country_of_birth_(2011),%_of_second_largest_migrant_population_(2011),Third_largest_migrant_population_by_country_of_birth_(2011),%_of_third_largest_migrant_population_(2011),Proportion_of_population_from_BAME_groups,Proportion_people_whose_main_language_is_not_English,"Overseas_nationals_entering_the_UK_(NINo),_(2015/16)","New_migrant_(NINo)_rates,_(2015/16)",Largest_migrant_population_arrived,Second_largest_migrant_population_arrived_during_2015/16,Third_largest_migrant_population_arrived_during_2015/16,Employment_rate_(%)_(2015),Male_employment_rate,Female_employment_rate,Unemployment_rate_(2015),Proportion_are_benefits,%_working-age_with_a_disability_(2015),Proportion_of_working_age_people_with_no_qualifications_(%)_2015,Proportion_of_working_age_with_degree_or_equivalent_and_above,Gross_Annual_Pay,Gross_Annual_Pay_-_Male_(2016),Gross_Annual_Pay_-_Female_(2016),Modelled_Household_median_income_estimates_2012/13,%_of_employment_that_is_in_public_sector_(2014),Crime_rates_per_thousand_population,Fires_per_thousand_population_(2014),Median_House_Price,"Average_Band_D_Council_Tax_charge_(£),_2015/16",New_Homes_(net)_2015/16_(provisional),"Homes_Owned_outright,_(2014)_%","Being_bought_with_mortgage_or_loan,_(2014)_%","Rented_from_Local_Authority_or_Housing_Association,_(2014)_%","Rented_from_Private_landlord,_(2014)_%",Area_that_is_Greenspace,"Household_Waste_Recycling_Rate,_2014/15","Number_of_cars,_(2011_Census)","Number_of_cars_per_household,_(2011_Census)","%_of_adults_who_cycle_at_least_once_per_month,_2014/15","Average_Public_Transport_Accessibility_score,_2014",Pupils_whose_first_language_is_not_English,%_children_living_in_out-of-work_households_(2015),"Male_life_expectancy,_(2012-14)","Female_life_expectancy,_(2012-14)",Teenage_conception_rate_(2014),Life_satisfaction_score_2011-14_(out_of_10),Worthwhileness_score_2011-14_(out_of_10),Happiness_score_2011-14_(out_of_10),Anxiety_score_2011-14_(out_of_10),Childhood_Obesity,Adults_with_diabetes,Mortality_rate_from_causes_considered_preventable_2012/14
Hackney,Inner London,274300,115417,144,33.1,20.7,72.1,7.2,35.8,Turkey,3.6,Nigeria,2.7,Jamaica,1.8,43.6,24.1,8927,46,Italy,France,Spain,69,72.8,65.3,5.9,10.7,17.9,10.8,49.2,32056,.,31919,35140,18.1,99.6,2.7,485000,1294.4,830,11.1,19.8,45.4,23.3,23.2,25.3,41800,0.4,25.2,4.9,44.2,19.7,78.5,83.3,24.7,7,7.3,7,3.8,27,5.8,211
Fulham,Inner London,185300,83552,113,35.7,17.4,72.3,10.3,43.2,France,2.7,Ireland,2.7,Australia,2.5,33.7,22.7,9256,71.4,Italy,France,Spain,77.5,80.9,74.2,4.7,8.4,12.9,4.9,67.5,38041,43845,34808,43820,16.4,113.2,2,730000,1003.8,370,19.1,21.8,25.9,33.1,19.1,20.7,43843,0.5,20.1,4.7,48.9,16.1,79.7,84.1,22.4,7.4,7.5,7.2,3.1,21.3,4.4,187
Haringey,Inner London,278000,115608,94,35.1,20,70.7,9.3,39.6,Poland,4.3,Turkey,4,Jamaica,2,38.2,29.7,15144,78.5,Romania,Italy,Bulgaria,71.3,77.6,64.8,5.7,9.7,16.3,8.8,49.2,31063,.,29513,35420,17.8,90.2,2.1,432500,1484,240,18,24.7,33.4,23.9,25.5,37.3,61515,0.6,14.1,4.3,48,16.9,80.1,84.9,22.6,7.2,7.5,7.2,3.2,23.8,5.9,183
Harrow,Outer London,252300,92557,50,38.3,20.5,64.5,15,49.6,India,9,Kenya,4.9,Sri Lanka,4.3,61.8,28.5,10427,65.4,Romania,India,Poland,73.9,83.1,64.7,4.6,5.4,13.9,4.2,47.9,33202,.,29335,38880,14.5,50.4,1.3,396150,1559.6,910,33.5,32.8,8.9,24.6,34.6,45.1,100326,1.2,8.3,2.9,57.6,9.1,82.7,86.1,11,7.3,7.4,7.3,2.7,20.2,8.5,134
Havering,Outer London,254300,104098,23,40.3,19.3,62.3,18.4,10.9,Ireland,1.1,India,1,Nigeria,0.9,15.7,4.6,2642,17,Romania,Lithuania,Poland,76.5,81.3,71.8,5.3,7,18.2,10.5,26,33398,36539,27455,36670,20.7,62.9,2.5,287500,1543.6,1010,35.2,33.9,17.2,13.8,59.3,32.4,117634,1.2,7.8,2.5,38.9,12.6,80.2,83.9,22.8,7.4,7.7,7.2,3.3,16.8,5.9,159
Hillingdon,Outer London,301000,110827,26,36.4,21.3,65.6,13.1,32.4,India,5.7,Pakistan,1.8,Ireland,1.6,45.7,18.8,6993,35.8,Romania,Poland,India,73.2,80.7,65.9,5.8,6.5,17.9,8.7,40.2,33508,36107,28778,37040,11.4,76.6,2.6,350000,1388.9,710,22.2,33,16.6,28.2,49.2,43.8,122486,1.2,12.3,2.4,29.6,12.3,80.4,83.9,20.5,7.4,7.7,7.3,3.5,15.1,6.4,170
Hounslow,Outer London,274200,105887,49,35.8,21.1,67.6,11.3,46.3,India,10.7,Poland,4.1,Pakistan,2.8,51.6,28.7,11336,62.4,Romania,India,Poland,74.2,84.7,63.2,4.3,6.1,17.6,6.5,45.5,31001,32235,27226,35330,11.7,79.2,2.1,355000,1355.8,480,25.5,27,19.2,28.3,39.6,34.5,94042,1,16,3,50.6,13.5,80,83.9,25,7.3,7.6,7.4,3.4,24.1,6.5,166
Islington,Inner London,231200,105038,156,34.8,15.9,75.3,8.8,36.6,Ireland,2.8,Turkey,1.8,United States,1.5,32,19.9,9302,54.3,Italy,France,Spain,72.6,78.2,67,4.5,10.5,14.6,6.2,62.7,36592,38284,.,39790,14.5,121.2,2.6,583000,1296.2,1030,15.4,23.5,35.3,25.5,12.4,32.8,38629,0.4,21.4,5.7,57.6,23.4,79,83.5,20.2,7.2,7.4,7.1,3.7,22.8,5,203
Chelsea,Inner London,159000,80200,131,39.3,16.4,69.3,14.3,51.9,United States,5,France,4.2,Italy,2.7,30,28,7237,66.2,Italy,France,Spain,68.2,76.3,60.4,4.2,7.2,14.3,5.2,65.2,42141,.,.,55620,14.7,120.9,2,1200000,1058.6,380,22.6,15.1,29.1,33.1,15.1,25.3,44536,0.6,16.9,5.8,45.8,11,83.3,86.4,14.2,7.6,7.8,7.6,3.1,18.6,4.2,136
Kingston,Outer London,175400,69849,47,37.1,19.6,67.2,13.2,29.8,Sri Lanka,2.2,India,1.8,Korea (South),1.4,30.4,16.4,3205,27.5,Bulgaria,Romania,Poland,74.4,80.9,67.8,4.5,4.6,15.3,5.9,53.7,37979,41288,33400,43940,17.1,58.5,1.8,410000,1683.2,240,27.7,38.9,10.7,22.4,36.4,45.7,70421,1.1,20.4,2.9,39.3,7.7,82,84.6,15.3,7.3,7.7,7.4,3.3,16.9,4.9,141
Lambeth,Inner London,328900,144400,123,34.5,17.6,74.6,7.8,32.2,Jamaica,3.2,Portugal,2.3,Poland,2.3,41.5,20.3,11259,46.5,Spain,Italy,Poland,78.5,82.3,74.6,5.9,8.8,16.1,6.2,65,33441,35995,30173,38490,23.1,104.6,2.5,450000,1257.4,1350,10.9,24.9,29.8,34.4,17.3,28.3,66791,0.5,16,5,39.1,18.1,78.9,83.3,33.8,7.1,7.5,7.2,3.5,23,5,205
Lewisham,Inner London,303400,131076,86,35,20.6,70.1,9.3,34.9,Jamaica,3.5,Nigeria,3.5,Poland,1.6,47.4,16.5,7978,38.3,Romania,Spain,Italy,75.9,79.6,72.4,5.7,9.8,16.5,5.8,53.3,33157,.,31641,35900,24.8,77,2.2,352000,1378.7,1540,16.5,31.7,28.1,23.6,22.5,17.1,76507,0.7,16.1,4.1,40.9,17.9,79,83.4,31.3,7.2,7.6,7.3,3.4,23.6,6.1,191
Merton,Outer London,208100,84201,55,36.7,20.6,67.2,12.2,37.4,Poland,3.5,Sri Lanka,3.2,South Africa,2.8,36.7,21.1,6684,48.6,Poland,Romania,Bulgaria,78.8,86.3,71.4,4.6,5.7,13.5,4.7,58,33989,.,30722,41960,12.2,59.7,1.8,415000,1382.5,510,21.7,32.7,16.2,29.3,34.6,37.5,72777,0.9,14.4,3.4,34.2,10.4,80.4,84.2,19.7,7.3,7.5,7.1,3.6,19.2,5.6,162
Newham,Inner London,342900,119172,95,32.1,22.7,70.2,7,54.1,India,8.7,Bangladesh,6.8,Pakistan,5.3,73.1,41.4,25604,109.6,Romania,India,Bulgaria,66.2,75,56.1,9.1,8,12.7,11,43.4,27942,30141,24006,28780,23.1,90.8,2.5,305000,1240.5,1440,9.4,16.7,31.4,42.5,23.9,17.2,61092,0.6,5.6,3.9,58.8,15.4,78.5,83,22.5,7.1,7.4,7.2,3.4,27.6,7.6,193
Redbridge,Outer London,304200,110708,54,35.8,22.8,65,12.2,40.2,India,7.6,Pakistan,5.3,Sri Lanka,2.6,62.7,24.6,10534,54.6,Romania,India,Bulgaria,68.3,79.1,57.6,7.9,6,17.1,10.2,44.7,33483,39272,29204,36860,22.9,69.7,1.9,345000,1415.2,50,29.5,34.9,11.3,24.1,40.6,28.7,106339,1.1,11.8,3,66.5,9.8,80.9,84.6,18.5,7.3,7.6,7.3,3.2,23.3,7.9,142
